course_ID,title,dept_name,credits,syllabus
BIO101,Introductory Biology,Biology,3,Basics of biological sciences
CHEM100,Chemistry Principles,Chemistry,3,Fundamental principles of chemistry
CS101,Intro to Computer Science,Computer Science,4,Introduction to fundamentals of computer science
ECO200,Microeconomics,Economics,3,Principles of microeconomic theory
ENG202,British Literature,English,2,Study of literature from Britain
HIST301,World History,History,3,Overview of global historical events
LAW400,Corporate Law,Law,4,Understanding corporate law and regulations
MATH201,Advanced Mathematics,Mathematics,3,In-depth study of abstract mathematical theories
PH101,General Physics,Physics,3,Concepts of motion and energy
PSY101,Intro to Psychology,Psychology,3,Basics of psychological theories
